"age","vote_biden","n","prop","biden_predict","biden_lower","biden_upper"
"18-29",1,99,0.717391304347826,0.723845611864034,0.621236050650845,0.826455173077223
"30-44",1,142,0.739583333333333,0.723473288277946,0.623960944833565,0.822985631722328
"45-59",1,132,0.650246305418719,0.63245022463422,0.520121093877911,0.744779355390528
"60+",1,234,0.72,0.671653997658708,0.562298040378644,0.781009954938773
