"sex","vote_biden","n","prop","biden_predict","biden_lower","biden_upper"
"female",1,312,0.739336492890995,0.719771841784893,0.618382214634911,0.821161468934875
"male",1,295,0.676605504587156,0.645062617721111,0.532880112291885,0.757245123150337
