"state","vote_biden","n","prop","biden_predict","biden_lower","biden_upper"
"Alabama",1,6,0.6,0.607722080772316,0.447728435021292,0.76771572652334
"Alaska",1,2,1,0.990331675246049,0.930990561325107,1.04967278916699
"Arizona",1,8,0.727272727272727,0.661410444373194,0.513076930390539,0.80974395835585
"Arkansas",1,7,0.777777777777778,0.720385045608743,0.564077281793575,0.876692809423911
"California",1,69,0.741935483870968,0.741813676076667,0.673154254194396,0.810473097958939
"Colorado",1,16,0.727272727272727,0.715521227287424,0.610519605822571,0.820522848752277
"Connecticut",1,7,0.636363636363636,0.652797097242248,0.507406301524638,0.798187892959858
"Delaware",1,4,0.8,0.770581242227622,0.593680119814859,0.947482364640385
"District of Columbia",1,1,1,0.988026541325427,0.913095668492234,1.06295741415862
"Florida",1,43,0.682539682539683,0.64297492468219,0.557414637334604,0.728535212029775
"Georgia",1,10,0.625,0.595696274341465,0.463873102597657,0.727519446085273
"Hawaii",1,3,1,0.990370353690623,0.93739497183398,1.04334573554727
"Idaho",1,3,0.75,0.725413037760662,0.517759692453844,0.93306638306748
"Illinois",1,17,0.68,0.66206454691168,0.553712901461065,0.770416192362295
"Indiana",1,9,0.75,0.68168086864902,0.542182622276808,0.821179115021232
"Iowa",1,7,0.636363636363636,0.604939406665433,0.453663711803279,0.756215101527587
"Kansas",1,7,1,0.996002375506013,0.975266251424327,1.0167384995877
"Kentucky",1,7,0.538461538461538,0.561212991794896,0.418494180510333,0.703931803079458
"Louisiana",1,9,0.692307692307692,0.652318424377951,0.514907905040104,0.789728943715797
"Maine",1,4,0.666666666666667,0.605271647252653,0.415768271972865,0.794775022532442
"Maryland",1,9,0.818181818181818,0.77937432044915,0.651707844749419,0.90704079614888
"Massachusetts",1,12,0.666666666666667,0.642524156483246,0.521123186474687,0.763925126491805
"Michigan",1,17,0.80952380952381,0.764201540641571,0.65874294503949,0.869660136243652
"Minnesota",1,18,0.75,0.729965231409571,0.628782907424377,0.831147555394764
"Mississippi",1,6,0.75,0.766013327249006,0.620953518722674,0.911073135775338
"Missouri",1,5,0.384615384615385,0.351063665887414,0.214687524918108,0.487439806856721
"Nebraska",1,4,0.571428571428571,0.602817445185798,0.425863953478862,0.779770936892733
"Nevada",1,5,0.555555555555556,0.494666356324603,0.329143877647184,0.660188835002021
"New Hampshire",1,4,0.8,0.754305086013568,0.569115901155928,0.939494270871207
"New Jersey",1,15,0.652173913043478,0.65155599909238,0.543443734762454,0.759668263422306
"New Mexico",1,6,1,0.991858951273305,0.949209071319467,1.03450883122714
"New York",1,41,0.82,0.783665642578014,0.706029856670622,0.861301428485407
"North Carolina",1,22,0.709677419354839,0.681172034604922,0.579767586723448,0.782576482486396
"North Dakota",1,2,1,0.990882360461947,0.935383320444068,1.04638140047983
"Ohio",1,26,0.764705882352941,0.740632762913076,0.649433291118158,0.831832234707993
"Oklahoma",1,5,0.384615384615385,0.365664748555494,0.226604036319595,0.504725460791392
"Oregon",1,6,0.666666666666667,0.590788636122108,0.425430195347123,0.756147076897094
"Pennsylvania",1,34,0.708333333333333,0.683735183843838,0.5968214207384,0.770648946949277
"Rhode Island",1,1,0.25,0.279778938104872,0.0677125193663516,0.491845356843393
"South Carolina",1,8,0.615384615384615,0.646795677042092,0.513075876536063,0.78051547754812
"South Dakota",1,2,0.666666666666667,0.684066235590488,0.449081305488464,0.919051165692511
"Tennessee",1,7,0.636363636363636,0.601202105787274,0.447104060255256,0.755300151319292
"Texas",1,47,0.643835616438356,0.622664831599843,0.538166632220877,0.707163030978809
"Utah",1,9,0.818181818181818,0.788909064456689,0.659159366816279,0.918658762097099
"Virginia",1,19,0.791666666666667,0.766190042819112,0.667510573595564,0.864869512042661
"Washington",1,23,0.884615384615385,0.871233067598715,0.799423165348931,0.943042969848499
"West Virginia",1,3,0.6,0.520069795875271,0.313583148959895,0.726556442790648
"Wisconsin",1,12,0.666666666666667,0.662081457338642,0.541428098260309,0.782734816416976
